County,State,StateSpace,Geography,Stub,Estimate,Stub2,Stub3
Luzerne County,Pennsylvania, Pennsylvania,"Luzerne County, Pennsylvania",. 65 years or over:,"53,627", 65 years or over,65 years or over
Luzerne County,Pennsylvania, Pennsylvania,"Luzerne County, Pennsylvania",. . With health insurance coverage,"53,607",  With health insurance coverage,With health insurance coverage
Luzerne County,Pennsylvania, Pennsylvania,"Luzerne County, Pennsylvania",. . No health insurance coverage,20,  No health insurance coverage,No health insurance coverage
Lycoming County,Pennsylvania, Pennsylvania,"Lycoming County, Pennsylvania",Total:,"113,466",Total,Total
Lycoming County,Pennsylvania, Pennsylvania,"Lycoming County, Pennsylvania",. Under 18 years:,"24,371", Under 18 years,Under 18 years
Lycoming County,Pennsylvania, Pennsylvania,"Lycoming County, Pennsylvania",. . With health insurance coverage,"23,162",  With health insurance coverage,With health insurance coverage
Lycoming County,Pennsylvania, Pennsylvania,"Lycoming County, Pennsylvania",. . No health insurance coverage,"1,209",  No health insurance coverage,No health insurance coverage
Lycoming County,Pennsylvania, Pennsylvania,"Lycoming County, Pennsylvania",. 18 to 64 years:,"70,971", 18 to 64 years,18 to 64 years
Lycoming County,Pennsylvania, Pennsylvania,"Lycoming County, Pennsylvania",. . With health insurance coverage,"62,934",  With health insurance coverage,With health insurance coverage
Lycoming County,Pennsylvania, Pennsylvania,"Lycoming County, Pennsylvania",. . No health insurance coverage,"8,037",  No health insurance coverage,No health insurance coverage
Lycoming County,Pennsylvania, Pennsylvania,"Lycoming County, Pennsylvania",. 65 years or over:,"18,124", 65 years or over,65 years or over
Lycoming County,Pennsylvania, Pennsylvania,"Lycoming County, Pennsylvania",. . With health insurance coverage,"18,097",  With health insurance coverage,With health insurance coverage
Lycoming County,Pennsylvania, Pennsylvania,"Lycoming County, Pennsylvania",. . No health insurance coverage,27,  No health insurance coverage,No health insurance coverage
Mercer County,Pennsylvania, Pennsylvania,"Mercer County, Pennsylvania",Total:,"112,848",Total,Total
Mercer County,Pennsylvania, Pennsylvania,"Mercer County, Pennsylvania",. Under 18 years:,"24,373", Under 18 years,Under 18 years
Mercer County,Pennsylvania, Pennsylvania,"Mercer County, Pennsylvania",. . With health insurance coverage,"22,179",  With health insurance coverage,With health insurance coverage
Mercer County,Pennsylvania, Pennsylvania,"Mercer County, Pennsylvania",. . No health insurance coverage,"2,194",  No health insurance coverage,No health insurance coverage
Mercer County,Pennsylvania, Pennsylvania,"Mercer County, Pennsylvania",. 18 to 64 years:,"69,923", 18 to 64 years,18 to 64 years
Mercer County,Pennsylvania, Pennsylvania,"Mercer County, Pennsylvania",. . With health insurance coverage,"61,711",  With health insurance coverage,With health insurance coverage
Mercer County,Pennsylvania, Pennsylvania,"Mercer County, Pennsylvania",. . No health insurance coverage,"8,212",  No health insurance coverage,No health insurance coverage
Mercer County,Pennsylvania, Pennsylvania,"Mercer County, Pennsylvania",. 65 years or over:,"18,552", 65 years or over,65 years or over
Mercer County,Pennsylvania, Pennsylvania,"Mercer County, Pennsylvania",. . With health insurance coverage,"18,482",  With health insurance coverage,With health insurance coverage
Mercer County,Pennsylvania, Pennsylvania,"Mercer County, Pennsylvania",. . No health insurance coverage,70,  No health insurance coverage,No health insurance coverage
Monroe County,Pennsylvania, Pennsylvania,"Monroe County, Pennsylvania",Total:,"164,188",Total,Total
Monroe County,Pennsylvania, Pennsylvania,"Monroe County, Pennsylvania",. Under 18 years:,"38,895", Under 18 years,Under 18 years
Monroe County,Pennsylvania, Pennsylvania,"Monroe County, Pennsylvania",. . With health insurance coverage,"36,881",  With health insurance coverage,With health insurance coverage
Monroe County,Pennsylvania, Pennsylvania,"Monroe County, Pennsylvania",. . No health insurance coverage,"2,014",  No health insurance coverage,No health insurance coverage
Monroe County,Pennsylvania, Pennsylvania,"Monroe County, Pennsylvania",. 18 to 64 years:,"106,094", 18 to 64 years,18 to 64 years
Monroe County,Pennsylvania, Pennsylvania,"Monroe County, Pennsylvania",. . With health insurance coverage,"89,515",  With health insurance coverage,With health insurance coverage
Monroe County,Pennsylvania, Pennsylvania,"Monroe County, Pennsylvania",. . No health insurance coverage,"16,579",  No health insurance coverage,No health insurance coverage
Monroe County,Pennsylvania, Pennsylvania,"Monroe County, Pennsylvania",. 65 years or over:,"19,199", 65 years or over,65 years or over
Monroe County,Pennsylvania, Pennsylvania,"Monroe County, Pennsylvania",. . With health insurance coverage,"19,093",  With health insurance coverage,With health insurance coverage
Monroe County,Pennsylvania, Pennsylvania,"Monroe County, Pennsylvania",. . No health insurance coverage,106,  No health insurance coverage,No health insurance coverage
Montgomery County,Pennsylvania, Pennsylvania,"Montgomery County, Pennsylvania",Total:,"760,714",Total,Total
Montgomery County,Pennsylvania, Pennsylvania,"Montgomery County, Pennsylvania",. Under 18 years:,"179,094", Under 18 years,Under 18 years
Montgomery County,Pennsylvania, Pennsylvania,"Montgomery County, Pennsylvania",. . With health insurance coverage,"172,030",  With health insurance coverage,With health insurance coverage
Montgomery County,Pennsylvania, Pennsylvania,"Montgomery County, Pennsylvania",. . No health insurance coverage,"7,064",  No health insurance coverage,No health insurance coverage
Montgomery County,Pennsylvania, Pennsylvania,"Montgomery County, Pennsylvania",. 18 to 64 years:,"475,158", 18 to 64 years,18 to 64 years
Montgomery County,Pennsylvania, Pennsylvania,"Montgomery County, Pennsylvania",. . With health insurance coverage,"435,764",  With health insurance coverage,With health insurance coverage
Montgomery County,Pennsylvania, Pennsylvania,"Montgomery County, Pennsylvania",. . No health insurance coverage,"39,394",  No health insurance coverage,No health insurance coverage
Montgomery County,Pennsylvania, Pennsylvania,"Montgomery County, Pennsylvania",. 65 years or over:,"106,462", 65 years or over,65 years or over
Montgomery County,Pennsylvania, Pennsylvania,"Montgomery County, Pennsylvania",. . With health insurance coverage,"106,070",  With health insurance coverage,With health insurance coverage
Montgomery County,Pennsylvania, Pennsylvania,"Montgomery County, Pennsylvania",. . No health insurance coverage,392,  No health insurance coverage,No health insurance coverage
Northampton County,Pennsylvania, Pennsylvania,"Northampton County, Pennsylvania",Total:,"289,341",Total,Total
Northampton County,Pennsylvania, Pennsylvania,"Northampton County, Pennsylvania",. Under 18 years:,"63,833", Under 18 years,Under 18 years
Northampton County,Pennsylvania, Pennsylvania,"Northampton County, Pennsylvania",. . With health insurance coverage,"61,060",  With health insurance coverage,With health insurance coverage
Northampton County,Pennsylvania, Pennsylvania,"Northampton County, Pennsylvania",. . No health insurance coverage,"2,773",  No health insurance coverage,No health insurance coverage
Northampton County,Pennsylvania, Pennsylvania,"Northampton County, Pennsylvania",. 18 to 64 years:,"185,983", 18 to 64 years,18 to 64 years
Northampton County,Pennsylvania, Pennsylvania,"Northampton County, Pennsylvania",. . With health insurance coverage,"168,689",  With health insurance coverage,With health insurance coverage
Northampton County,Pennsylvania, Pennsylvania,"Northampton County, Pennsylvania",. . No health insurance coverage,"17,294",  No health insurance coverage,No health insurance coverage
Northampton County,Pennsylvania, Pennsylvania,"Northampton County, Pennsylvania",. 65 years or over:,"39,525", 65 years or over,65 years or over
Northampton County,Pennsylvania, Pennsylvania,"Northampton County, Pennsylvania",. . With health insurance coverage,"39,468",  With health insurance coverage,With health insurance coverage
Northampton County,Pennsylvania, Pennsylvania,"Northampton County, Pennsylvania",. . No health insurance coverage,57,  No health insurance coverage,No health insurance coverage
Northumberland County,Pennsylvania, Pennsylvania,"Northumberland County, Pennsylvania",Total:,"87,537",Total,Total
Northumberland County,Pennsylvania, Pennsylvania,"Northumberland County, Pennsylvania",. Under 18 years:,"18,107", Under 18 years,Under 18 years
Northumberland County,Pennsylvania, Pennsylvania,"Northumberland County, Pennsylvania",. . With health insurance coverage,"16,546",  With health insurance coverage,With health insurance coverage
Northumberland County,Pennsylvania, Pennsylvania,"Northumberland County, Pennsylvania",. . No health insurance coverage,"1,561",  No health insurance coverage,No health insurance coverage
Northumberland County,Pennsylvania, Pennsylvania,"Northumberland County, Pennsylvania",. 18 to 64 years:,"53,880", 18 to 64 years,18 to 64 years
Northumberland County,Pennsylvania, Pennsylvania,"Northumberland County, Pennsylvania",. . With health insurance coverage,"46,121",  With health insurance coverage,With health insurance coverage
Northumberland County,Pennsylvania, Pennsylvania,"Northumberland County, Pennsylvania",. . No health insurance coverage,"7,759",  No health insurance coverage,No health insurance coverage
Northumberland County,Pennsylvania, Pennsylvania,"Northumberland County, Pennsylvania",. 65 years or over:,"15,550", 65 years or over,65 years or over
Northumberland County,Pennsylvania, Pennsylvania,"Northumberland County, Pennsylvania",. . With health insurance coverage,"15,513",  With health insurance coverage,With health insurance coverage
Northumberland County,Pennsylvania, Pennsylvania,"Northumberland County, Pennsylvania",. . No health insurance coverage,37,  No health insurance coverage,No health insurance coverage
Philadelphia County,Pennsylvania, Pennsylvania,"Philadelphia County, Pennsylvania",Total:,"1,423,719",Total,Total
Philadelphia County,Pennsylvania, Pennsylvania,"Philadelphia County, Pennsylvania",. Under 18 years:,"361,858", Under 18 years,Under 18 years
Philadelphia County,Pennsylvania, Pennsylvania,"Philadelphia County, Pennsylvania",. . With health insurance coverage,"334,644",  With health insurance coverage,With health insurance coverage
Philadelphia County,Pennsylvania, Pennsylvania,"Philadelphia County, Pennsylvania",. . No health insurance coverage,"27,214",  No health insurance coverage,No health insurance coverage
Philadelphia County,Pennsylvania, Pennsylvania,"Philadelphia County, Pennsylvania",. 18 to 64 years:,"888,484", 18 to 64 years,18 to 64 years
Philadelphia County,Pennsylvania, Pennsylvania,"Philadelphia County, Pennsylvania",. . With health insurance coverage,"732,914",  With health insurance coverage,With health insurance coverage
Philadelphia County,Pennsylvania, Pennsylvania,"Philadelphia County, Pennsylvania",. . No health insurance coverage,"155,570",  No health insurance coverage,No health insurance coverage
Philadelphia County,Pennsylvania, Pennsylvania,"Philadelphia County, Pennsylvania",. 65 years or over:,"173,377", 65 years or over,65 years or over
Philadelphia County,Pennsylvania, Pennsylvania,"Philadelphia County, Pennsylvania",. . With health insurance coverage,"172,224",  With health insurance coverage,With health insurance coverage
Philadelphia County,Pennsylvania, Pennsylvania,"Philadelphia County, Pennsylvania",. . No health insurance coverage,"1,153",  No health insurance coverage,No health insurance coverage
Schuylkill County,Pennsylvania, Pennsylvania,"Schuylkill County, Pennsylvania",Total:,"140,605",Total,Total
Schuylkill County,Pennsylvania, Pennsylvania,"Schuylkill County, Pennsylvania",. Under 18 years:,"28,248", Under 18 years,Under 18 years
Schuylkill County,Pennsylvania, Pennsylvania,"Schuylkill County, Pennsylvania",. . With health insurance coverage,"26,762",  With health insurance coverage,With health insurance coverage
Schuylkill County,Pennsylvania, Pennsylvania,"Schuylkill County, Pennsylvania",. . No health insurance coverage,"1,486",  No health insurance coverage,No health insurance coverage
Schuylkill County,Pennsylvania, Pennsylvania,"Schuylkill County, Pennsylvania",. 18 to 64 years:,"87,199", 18 to 64 years,18 to 64 years
Schuylkill County,Pennsylvania, Pennsylvania,"Schuylkill County, Pennsylvania",. . With health insurance coverage,"77,216",  With health insurance coverage,With health insurance coverage
Schuylkill County,Pennsylvania, Pennsylvania,"Schuylkill County, Pennsylvania",. . No health insurance coverage,"9,983",  No health insurance coverage,No health insurance coverage
Schuylkill County,Pennsylvania, Pennsylvania,"Schuylkill County, Pennsylvania",. 65 years or over:,"25,158", 65 years or over,65 years or over
Schuylkill County,Pennsylvania, Pennsylvania,"Schuylkill County, Pennsylvania",. . With health insurance coverage,"25,158",  With health insurance coverage,With health insurance coverage
Schuylkill County,Pennsylvania, Pennsylvania,"Schuylkill County, Pennsylvania",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Somerset County,Pennsylvania, Pennsylvania,"Somerset County, Pennsylvania",Total:,"73,931",Total,Total
Somerset County,Pennsylvania, Pennsylvania,"Somerset County, Pennsylvania",. Under 18 years:,"14,592", Under 18 years,Under 18 years
Somerset County,Pennsylvania, Pennsylvania,"Somerset County, Pennsylvania",. . With health insurance coverage,"13,621",  With health insurance coverage,With health insurance coverage
Somerset County,Pennsylvania, Pennsylvania,"Somerset County, Pennsylvania",. . No health insurance coverage,971,  No health insurance coverage,No health insurance coverage
Somerset County,Pennsylvania, Pennsylvania,"Somerset County, Pennsylvania",. 18 to 64 years:,"45,029", 18 to 64 years,18 to 64 years
Somerset County,Pennsylvania, Pennsylvania,"Somerset County, Pennsylvania",. . With health insurance coverage,"37,591",  With health insurance coverage,With health insurance coverage
Somerset County,Pennsylvania, Pennsylvania,"Somerset County, Pennsylvania",. . No health insurance coverage,"7,438",  No health insurance coverage,No health insurance coverage
Somerset County,Pennsylvania, Pennsylvania,"Somerset County, Pennsylvania",. 65 years or over:,"14,310", 65 years or over,65 years or over
Somerset County,Pennsylvania, Pennsylvania,"Somerset County, Pennsylvania",. . With health insurance coverage,"14,310",  With health insurance coverage,With health insurance coverage
Somerset County,Pennsylvania, Pennsylvania,"Somerset County, Pennsylvania",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Washington County,Pennsylvania, Pennsylvania,"Washington County, Pennsylvania",Total:,"203,330",Total,Total
Washington County,Pennsylvania, Pennsylvania,"Washington County, Pennsylvania",. Under 18 years:,"41,884", Under 18 years,Under 18 years
Washington County,Pennsylvania, Pennsylvania,"Washington County, Pennsylvania",. . With health insurance coverage,"40,790",  With health insurance coverage,With health insurance coverage
Washington County,Pennsylvania, Pennsylvania,"Washington County, Pennsylvania",. . No health insurance coverage,"1,094",  No health insurance coverage,No health insurance coverage
Washington County,Pennsylvania, Pennsylvania,"Washington County, Pennsylvania",. 18 to 64 years:,"127,730", 18 to 64 years,18 to 64 years
Washington County,Pennsylvania, Pennsylvania,"Washington County, Pennsylvania",. . With health insurance coverage,"110,440",  With health insurance coverage,With health insurance coverage
Washington County,Pennsylvania, Pennsylvania,"Washington County, Pennsylvania",. . No health insurance coverage,"17,290",  No health insurance coverage,No health insurance coverage
Washington County,Pennsylvania, Pennsylvania,"Washington County, Pennsylvania",. 65 years or over:,"33,716", 65 years or over,65 years or over
Washington County,Pennsylvania, Pennsylvania,"Washington County, Pennsylvania",. . With health insurance coverage,"33,629",  With health insurance coverage,With health insurance coverage
Washington County,Pennsylvania, Pennsylvania,"Washington County, Pennsylvania",. . No health insurance coverage,87,  No health insurance coverage,No health insurance coverage
Westmoreland County,Pennsylvania, Pennsylvania,"Westmoreland County, Pennsylvania",Total:,"351,384",Total,Total
Westmoreland County,Pennsylvania, Pennsylvania,"Westmoreland County, Pennsylvania",. Under 18 years:,"70,290", Under 18 years,Under 18 years
Westmoreland County,Pennsylvania, Pennsylvania,"Westmoreland County, Pennsylvania",. . With health insurance coverage,"68,121",  With health insurance coverage,With health insurance coverage
Westmoreland County,Pennsylvania, Pennsylvania,"Westmoreland County, Pennsylvania",. . No health insurance coverage,"2,169",  No health insurance coverage,No health insurance coverage
Westmoreland County,Pennsylvania, Pennsylvania,"Westmoreland County, Pennsylvania",. 18 to 64 years:,"220,830", 18 to 64 years,18 to 64 years
Westmoreland County,Pennsylvania, Pennsylvania,"Westmoreland County, Pennsylvania",. . With health insurance coverage,"195,166",  With health insurance coverage,With health insurance coverage
Westmoreland County,Pennsylvania, Pennsylvania,"Westmoreland County, Pennsylvania",. . No health insurance coverage,"25,664",  No health insurance coverage,No health insurance coverage
Westmoreland County,Pennsylvania, Pennsylvania,"Westmoreland County, Pennsylvania",. 65 years or over:,"60,264", 65 years or over,65 years or over
Westmoreland County,Pennsylvania, Pennsylvania,"Westmoreland County, Pennsylvania",. . With health insurance coverage,"60,264",  With health insurance coverage,With health insurance coverage
Westmoreland County,Pennsylvania, Pennsylvania,"Westmoreland County, Pennsylvania",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
York County,Pennsylvania, Pennsylvania,"York County, Pennsylvania",Total:,"417,965",Total,Total
York County,Pennsylvania, Pennsylvania,"York County, Pennsylvania",. Under 18 years:,"97,027", Under 18 years,Under 18 years
York County,Pennsylvania, Pennsylvania,"York County, Pennsylvania",. . With health insurance coverage,"92,032",  With health insurance coverage,With health insurance coverage
York County,Pennsylvania, Pennsylvania,"York County, Pennsylvania",. . No health insurance coverage,"4,995",  No health insurance coverage,No health insurance coverage
York County,Pennsylvania, Pennsylvania,"York County, Pennsylvania",. 18 to 64 years:,"264,678", 18 to 64 years,18 to 64 years
York County,Pennsylvania, Pennsylvania,"York County, Pennsylvania",. . With health insurance coverage,"233,852",  With health insurance coverage,With health insurance coverage
York County,Pennsylvania, Pennsylvania,"York County, Pennsylvania",. . No health insurance coverage,"30,826",  No health insurance coverage,No health insurance coverage
York County,Pennsylvania, Pennsylvania,"York County, Pennsylvania",. 65 years or over:,"56,260", 65 years or over,65 years or over
York County,Pennsylvania, Pennsylvania,"York County, Pennsylvania",. . With health insurance coverage,"55,934",  With health insurance coverage,With health insurance coverage
York County,Pennsylvania, Pennsylvania,"York County, Pennsylvania",. . No health insurance coverage,326,  No health insurance coverage,No health insurance coverage
Kent County,Rhode Island, Rhode Island,"Kent County, Rhode Island",Total:,"166,014",Total,Total
Kent County,Rhode Island, Rhode Island,"Kent County, Rhode Island",. Under 18 years:,"34,632", Under 18 years,Under 18 years
Kent County,Rhode Island, Rhode Island,"Kent County, Rhode Island",. . With health insurance coverage,"33,310",  With health insurance coverage,With health insurance coverage
Kent County,Rhode Island, Rhode Island,"Kent County, Rhode Island",. . No health insurance coverage,"1,322",  No health insurance coverage,No health insurance coverage
Kent County,Rhode Island, Rhode Island,"Kent County, Rhode Island",. 18 to 64 years:,"108,142", 18 to 64 years,18 to 64 years
Kent County,Rhode Island, Rhode Island,"Kent County, Rhode Island",. . With health insurance coverage,"98,737",  With health insurance coverage,With health insurance coverage
Kent County,Rhode Island, Rhode Island,"Kent County, Rhode Island",. . No health insurance coverage,"9,405",  No health insurance coverage,No health insurance coverage
Kent County,Rhode Island, Rhode Island,"Kent County, Rhode Island",. 65 years or over:,"23,240", 65 years or over,65 years or over
Kent County,Rhode Island, Rhode Island,"Kent County, Rhode Island",. . With health insurance coverage,"23,240",  With health insurance coverage,With health insurance coverage
Kent County,Rhode Island, Rhode Island,"Kent County, Rhode Island",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Newport County,Rhode Island, Rhode Island,"Newport County, Rhode Island",Total:,"75,085",Total,Total
Newport County,Rhode Island, Rhode Island,"Newport County, Rhode Island",. Under 18 years:,"15,980", Under 18 years,Under 18 years
Newport County,Rhode Island, Rhode Island,"Newport County, Rhode Island",. . With health insurance coverage,"15,474",  With health insurance coverage,With health insurance coverage
Newport County,Rhode Island, Rhode Island,"Newport County, Rhode Island",. . No health insurance coverage,506,  No health insurance coverage,No health insurance coverage
Newport County,Rhode Island, Rhode Island,"Newport County, Rhode Island",. 18 to 64 years:,"46,147", 18 to 64 years,18 to 64 years
Newport County,Rhode Island, Rhode Island,"Newport County, Rhode Island",. . With health insurance coverage,"42,569",  With health insurance coverage,With health insurance coverage
Newport County,Rhode Island, Rhode Island,"Newport County, Rhode Island",. . No health insurance coverage,"3,578",  No health insurance coverage,No health insurance coverage
Newport County,Rhode Island, Rhode Island,"Newport County, Rhode Island",. 65 years or over:,"12,958", 65 years or over,65 years or over
Newport County,Rhode Island, Rhode Island,"Newport County, Rhode Island",. . With health insurance coverage,"12,907",  With health insurance coverage,With health insurance coverage
Newport County,Rhode Island, Rhode Island,"Newport County, Rhode Island",. . No health insurance coverage,51,  No health insurance coverage,No health insurance coverage
Providence County,Rhode Island, Rhode Island,"Providence County, Rhode Island",Total:,"615,073",Total,Total
Providence County,Rhode Island, Rhode Island,"Providence County, Rhode Island",. Under 18 years:,"142,197", Under 18 years,Under 18 years
Providence County,Rhode Island, Rhode Island,"Providence County, Rhode Island",. . With health insurance coverage,"132,631",  With health insurance coverage,With health insurance coverage
Providence County,Rhode Island, Rhode Island,"Providence County, Rhode Island",. . No health insurance coverage,"9,566",  No health insurance coverage,No health insurance coverage
Providence County,Rhode Island, Rhode Island,"Providence County, Rhode Island",. 18 to 64 years:,"394,118", 18 to 64 years,18 to 64 years
Providence County,Rhode Island, Rhode Island,"Providence County, Rhode Island",. . With health insurance coverage,"323,671",  With health insurance coverage,With health insurance coverage
Providence County,Rhode Island, Rhode Island,"Providence County, Rhode Island",. . No health insurance coverage,"70,447",  No health insurance coverage,No health insurance coverage
Providence County,Rhode Island, Rhode Island,"Providence County, Rhode Island",. 65 years or over:,"78,758", 65 years or over,65 years or over
Providence County,Rhode Island, Rhode Island,"Providence County, Rhode Island",. . With health insurance coverage,"77,934",  With health insurance coverage,With health insurance coverage
Providence County,Rhode Island, Rhode Island,"Providence County, Rhode Island",. . No health insurance coverage,824,  No health insurance coverage,No health insurance coverage
Washington County,Rhode Island, Rhode Island,"Washington County, Rhode Island",Total:,"125,246",Total,Total
Washington County,Rhode Island, Rhode Island,"Washington County, Rhode Island",. Under 18 years:,"25,085", Under 18 years,Under 18 years
Washington County,Rhode Island, Rhode Island,"Washington County, Rhode Island",. . With health insurance coverage,"24,767",  With health insurance coverage,With health insurance coverage
Washington County,Rhode Island, Rhode Island,"Washington County, Rhode Island",. . No health insurance coverage,318,  No health insurance coverage,No health insurance coverage
Washington County,Rhode Island, Rhode Island,"Washington County, Rhode Island",. 18 to 64 years:,"82,634", 18 to 64 years,18 to 64 years
Washington County,Rhode Island, Rhode Island,"Washington County, Rhode Island",. . With health insurance coverage,"76,974",  With health insurance coverage,With health insurance coverage
Washington County,Rhode Island, Rhode Island,"Washington County, Rhode Island",. . No health insurance coverage,"5,660",  No health insurance coverage,No health insurance coverage
Washington County,Rhode Island, Rhode Island,"Washington County, Rhode Island",. 65 years or over:,"17,527", 65 years or over,65 years or over
Washington County,Rhode Island, Rhode Island,"Washington County, Rhode Island",. . With health insurance coverage,"17,527",  With health insurance coverage,With health insurance coverage
Washington County,Rhode Island, Rhode Island,"Washington County, Rhode Island",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Aiken County,South Carolina, South Carolina,"Aiken County, South Carolina",Total:,"152,179",Total,Total
Aiken County,South Carolina, South Carolina,"Aiken County, South Carolina",. Under 18 years:,"35,840", Under 18 years,Under 18 years
Aiken County,South Carolina, South Carolina,"Aiken County, South Carolina",. . With health insurance coverage,"32,048",  With health insurance coverage,With health insurance coverage
Aiken County,South Carolina, South Carolina,"Aiken County, South Carolina",. . No health insurance coverage,"3,792",  No health insurance coverage,No health insurance coverage
Aiken County,South Carolina, South Carolina,"Aiken County, South Carolina",. 18 to 64 years:,"93,989", 18 to 64 years,18 to 64 years
Aiken County,South Carolina, South Carolina,"Aiken County, South Carolina",. . With health insurance coverage,"72,763",  With health insurance coverage,With health insurance coverage
Aiken County,South Carolina, South Carolina,"Aiken County, South Carolina",. . No health insurance coverage,"21,226",  No health insurance coverage,No health insurance coverage
Aiken County,South Carolina, South Carolina,"Aiken County, South Carolina",. 65 years or over:,"22,350", 65 years or over,65 years or over
Aiken County,South Carolina, South Carolina,"Aiken County, South Carolina",. . With health insurance coverage,"22,276",  With health insurance coverage,With health insurance coverage
Aiken County,South Carolina, South Carolina,"Aiken County, South Carolina",. . No health insurance coverage,74,  No health insurance coverage,No health insurance coverage
Anderson County,South Carolina, South Carolina,"Anderson County, South Carolina",Total:,"178,884",Total,Total
Anderson County,South Carolina, South Carolina,"Anderson County, South Carolina",. Under 18 years:,"43,547", Under 18 years,Under 18 years
Anderson County,South Carolina, South Carolina,"Anderson County, South Carolina",. . With health insurance coverage,"39,520",  With health insurance coverage,With health insurance coverage
Anderson County,South Carolina, South Carolina,"Anderson County, South Carolina",. . No health insurance coverage,"4,027",  No health insurance coverage,No health insurance coverage
Anderson County,South Carolina, South Carolina,"Anderson County, South Carolina",. 18 to 64 years:,"109,667", 18 to 64 years,18 to 64 years
Anderson County,South Carolina, South Carolina,"Anderson County, South Carolina",. . With health insurance coverage,"85,262",  With health insurance coverage,With health insurance coverage
Anderson County,South Carolina, South Carolina,"Anderson County, South Carolina",. . No health insurance coverage,"24,405",  No health insurance coverage,No health insurance coverage
Anderson County,South Carolina, South Carolina,"Anderson County, South Carolina",. 65 years or over:,"25,670", 65 years or over,65 years or over
Anderson County,South Carolina, South Carolina,"Anderson County, South Carolina",. . With health insurance coverage,"25,670",  With health insurance coverage,With health insurance coverage
Anderson County,South Carolina, South Carolina,"Anderson County, South Carolina",. . No health insurance coverage,0,  No health insurance coverage,No health insurance coverage
Beaufort County,South Carolina, South Carolina,"Beaufort County, South Carolina",Total:,"140,459",Total,Total
Beaufort County,South Carolina, South Carolina,"Beaufort County, South Carolina",. Under 18 years:,"35,743", Under 18 years,Under 18 years
Beaufort County,South Carolina, South Carolina,"Beaufort County, South Carolina",. . With health insurance coverage,"30,462",  With health insurance coverage,With health insurance coverage
Beaufort County,South Carolina, South Carolina,"Beaufort County, South Carolina",. . No health insurance coverage,"5,281",  No health insurance coverage,No health insurance coverage
Beaufort County,South Carolina, South Carolina,"Beaufort County, South Carolina",. 18 to 64 years:,"76,362", 18 to 64 years,18 to 64 years
Beaufort County,South Carolina, South Carolina,"Beaufort County, South Carolina",. . With health insurance coverage,"59,006",  With health insurance coverage,With health insurance coverage
Beaufort County,South Carolina, South Carolina,"Beaufort County, South Carolina",. . No health insurance coverage,"17,356",  No health insurance coverage,No health insurance coverage
Beaufort County,South Carolina, South Carolina,"Beaufort County, South Carolina",. 65 years or over:,"28,354", 65 years or over,65 years or over
Beaufort County,South Carolina, South Carolina,"Beaufort County, South Carolina",. . With health insurance coverage,"28,249",  With health insurance coverage,With health insurance coverage
Beaufort County,South Carolina, South Carolina,"Beaufort County, South Carolina",. . No health insurance coverage,105,  No health insurance coverage,No health insurance coverage
Berkeley County,South Carolina, South Carolina,"Berkeley County, South Carolina",Total:,"164,368",Total,Total
Berkeley County,South Carolina, South Carolina,"Berkeley County, South Carolina",. Under 18 years:,"44,341", Under 18 years,Under 18 years
Berkeley County,South Carolina, South Carolina,"Berkeley County, South Carolina",. . With health insurance coverage,"35,525",  With health insurance coverage,With health insurance coverage
Berkeley County,South Carolina, South Carolina,"Berkeley County, South Carolina",. . No health insurance coverage,"8,816",  No health insurance coverage,No health insurance coverage
Berkeley County,South Carolina, South Carolina,"Berkeley County, South Carolina",. 18 to 64 years:,"104,357", 18 to 64 years,18 to 64 years
Berkeley County,South Carolina, South Carolina,"Berkeley County, South Carolina",. . With health insurance coverage,"77,271",  With health insurance coverage,With health insurance coverage
Berkeley County,South Carolina, South Carolina,"Berkeley County, South Carolina",. . No health insurance coverage,"27,086",  No health insurance coverage,No health insurance coverage
Berkeley County,South Carolina, South Carolina,"Berkeley County, South Carolina",. 65 years or over:,"15,670", 65 years or over,65 years or over
Berkeley County,South Carolina, South Carolina,"Berkeley County, South Carolina",. . With health insurance coverage,"15,174",  With health insurance coverage,With health insurance coverage
Berkeley County,South Carolina, South Carolina,"Berkeley County, South Carolina",. . No health insurance coverage,496,  No health insurance coverage,No health insurance coverage
Charleston County,South Carolina, South Carolina,"Charleston County, South Carolina",Total:,"340,690",Total,Total
Charleston County,South Carolina, South Carolina,"Charleston County, South Carolina",. Under 18 years:,"80,320", Under 18 years,Under 18 years
Charleston County,South Carolina, South Carolina,"Charleston County, South Carolina",. . With health insurance coverage,"69,883",  With health insurance coverage,With health insurance coverage
Charleston County,South Carolina, South Carolina,"Charleston County, South Carolina",. . No health insurance coverage,"10,437",  No health insurance coverage,No health insurance coverage
Charleston County,South Carolina, South Carolina,"Charleston County, South Carolina",. 18 to 64 years:,"216,991", 18 to 64 years,18 to 64 years
Charleston County,South Carolina, South Carolina,"Charleston County, South Carolina",. . With health insurance coverage,"173,201",  With health insurance coverage,With health insurance coverage
Charleston County,South Carolina, South Carolina,"Charleston County, South Carolina",. . No health insurance coverage,"43,790",  No health insurance coverage,No health insurance coverage
